year,county_fips,state,county_name,candidatevotes,totalvotes,party,Unemployment_rate,Poverty_rate,No_high_school,High_school_only,Some_college,Bachelor
2020,1001,ALABAMA,AUTAUGA,19838,27770,REPUBLICAN,2.7,12.1,11.5,33.6,28.4,26.6
2020,1003,ALABAMA,BALDWIN,83544,109679,REPUBLICAN,2.8,10.1,9.2,27.7,31.3,31.9
2020,1005,ALABAMA,BARBOUR,5622,10518,REPUBLICAN,3.8,27.1,26.8,35.6,26,11.6
2020,1007,ALABAMA,BIBB,7525,9595,REPUBLICAN,3.1,20.3,20.9,44.9,23.8,10.4
2020,1009,ALABAMA,BLOUNT,24711,27588,REPUBLICAN,2.7,16.3,19.5,33.4,34,13.1
2020,1011,ALABAMA,BULLOCK,3446,4613,DEMOCRAT,3.7,30,25.3,40.3,22.3,12.1
2020,1013,ALABAMA,BUTLER,5458,9488,REPUBLICAN,3.7,21.6,15,45.2,23.7,16.1
2020,1015,ALABAMA,CALHOUN,35101,50983,REPUBLICAN,3.6,17.2,15.6,32.8,33.2,18.5
2020,1017,ALABAMA,CHAMBERS,8753,15284,REPUBLICAN,2.9,19.6,18.4,36.7,31.6,13.3
2020,1019,ALABAMA,CHEROKEE,10583,12301,REPUBLICAN,2.9,15.9,18.4,40.3,28.6,12.8
2020,1021,ALABAMA,CHILTON,16085,19310,REPUBLICAN,2.7,16,18.2,44.4,24.6,12.7
2020,1023,ALABAMA,CHOCTAW,4296,7464,REPUBLICAN,4.7,22.6,18.6,37.7,31.8,11.9
2020,1025,ALABAMA,CLARKE,7324,13135,REPUBLICAN,5.8,18.4,19.4,41.8,26.6,12.2
2020,1027,ALABAMA,CLAY,5601,6930,REPUBLICAN,3,16.6,23.3,37.8,28.3,10.6
2020,1029,ALABAMA,CLEBURNE,6484,7227,REPUBLICAN,3.2,13.3,21,38,25.6,15.4
2020,1031,ALABAMA,COFFEE,16899,22275,REPUBLICAN,2.9,15,14.1,27.2,35.9,22.8
2020,1033,ALABAMA,COLBERT,19203,27886,REPUBLICAN,3.8,14.6,14.8,37.8,29.2,18.1
2020,1035,ALABAMA,CONECUH,3442,6441,REPUBLICAN,4,22.2,15.7,51.1,20.4,12.8
2020,1037,ALABAMA,COOSA,3631,5479,REPUBLICAN,3,17.1,20,40.3,26.9,12.8
2020,1039,ALABAMA,COVINGTON,14586,17430,REPUBLICAN,3.5,17.2,16.6,37.3,30.8,15.3
2020,1041,ALABAMA,CRENSHAW,4864,6617,REPUBLICAN,2.8,16.8,20.8,39.5,22.3,17.4
2020,1043,ALABAMA,CULLMAN,36880,41851,REPUBLICAN,2.6,12.2,18.4,34.1,33.6,13.9
2020,1045,ALABAMA,DALE,14303,19738,REPUBLICAN,3.2,18.1,13.9,32.3,35.7,18.1
2020,1047,ALABAMA,DALLAS,12230,17864,DEMOCRAT,5.5,26,18.2,35.9,31.2,14.7
2020,1049,ALABAMA,DEKALB,24767,29356,REPUBLICAN,2.8,18.2,25.2,34.2,27.6,13
2020,1051,ALABAMA,ELMORE,30164,41030,REPUBLICAN,2.6,11.4,13.4,32.5,29.1,25.1
2020,1053,ALABAMA,ESCAMBIA,10869,15910,REPUBLICAN,3.5,20.5,18.9,43.7,24.9,12.5
2020,1055,ALABAMA,ETOWAH,35528,47728,REPUBLICAN,3.4,18.8,15.4,32.9,33.9,17.8
2020,1057,ALABAMA,FAYETTE,7300,8766,REPUBLICAN,3.1,17,17.4,41.3,28.9,12.4
2020,1059,ALABAMA,FRANKLIN,10376,12578,REPUBLICAN,2.8,16.1,22.8,36.6,26.6,14
2020,1061,ALABAMA,GENEVA,10848,12545,REPUBLICAN,3,16.1,19.7,36,31.8,12.5
2020,1063,ALABAMA,GREENE,3884,4775,DEMOCRAT,5.6,31.7,20.8,38.6,30.5,10.1
2020,1065,ALABAMA,HALE,4663,7900,DEMOCRAT,4,20.5,16,43.4,26.4,14.2
2020,1067,ALABAMA,HENRY,6607,9298,REPUBLICAN,3.6,17.2,20.6,32.6,29.8,17.1
2020,1069,ALABAMA,HOUSTON,32618,46173,REPUBLICAN,3,19.4,14,31.2,33.1,21.7
2020,1071,ALABAMA,JACKSON,19670,23636,REPUBLICAN,3.3,14.7,16.8,41,28.2,14
2020,1073,ALABAMA,JEFFERSON,181688,325848,DEMOCRAT,2.9,16.2,9.9,26.4,30.3,33.4
2020,1075,ALABAMA,LAMAR,6174,7193,REPUBLICAN,3.1,15.3,17.7,39.8,30.6,11.9
2020,1077,ALABAMA,LAUDERDALE,31721,44339,REPUBLICAN,3.3,15.7,12.6,36,27.9,23.5
2020,1079,ALABAMA,LAWRENCE,12322,16031,REPUBLICAN,3.2,17.7,20.7,41.2,25.5,12.6
2020,1081,ALABAMA,LEE,42221,71449,REPUBLICAN,2.8,15.5,9.1,23.7,31.8,35.3
2020,1083,ALABAMA,LIMESTONE,34640,49235,REPUBLICAN,2.7,12,15.3,30.4,28.6,25.7
2020,1085,ALABAMA,LOWNDES,4972,6835,DEMOCRAT,5.8,26.6,21.7,39.6,24,14.7
2020,1087,ALABAMA,MACON,7108,8723,DEMOCRAT,4.3,29.3,18.2,30.2,31.2,20.4
2020,1089,ALABAMA,MADISON,102780,194767,REPUBLICAN,2.6,11.5,8.3,20.6,28.3,42.8
2020,1091,ALABAMA,MARENGO,5488,10900,DEMOCRAT,3.5,24.8,16.2,38,29.8,16.1
2020,1093,ALABAMA,MARION,12205,13807,REPUBLICAN,3.5,16.9,20.4,34.8,32,12.8
2020,1095,ALABAMA,MARSHALL,33191,39655,REPUBLICAN,2.5,15.7,18.4,31.1,31.1,19.4
2020,1097,ALABAMA,MOBILE,101243,183164,REPUBLICAN,3.7,17.7,13.5,34,29.3,23.2
2020,1099,ALABAMA,MONROE,6147,10668,REPUBLICAN,4.8,23.3,14.4,47.2,24.9,13.5
2020,1101,ALABAMA,MONTGOMERY,64529,99139,DEMOCRAT,3.1,15.8,13.3,25,28.4,33.4
2020,1103,ALABAMA,MORGAN,39664,53722,REPUBLICAN,2.6,13.7,15.9,30.4,31.3,22.4
2020,1105,ALABAMA,PERRY,3860,5230,DEMOCRAT,5.3,33.9,17.2,36.9,23.1,22.8
2020,1107,ALABAMA,PICKENS,5594,9668,REPUBLICAN,3.5,24.3,18.5,37.2,30.2,14.1
2020,1109,ALABAMA,PIKE,8042,13841,REPUBLICAN,3.3,21.8,15,35.7,25.5,23.7
2020,1111,ALABAMA,RANDOLPH,8559,10837,REPUBLICAN,3.1,17.5,20.4,34.9,28.2,16.5
2020,1113,ALABAMA,RUSSELL,11228,21329,DEMOCRAT,3,18.9,16.2,31.4,34.6,17.8
2020,1115,ALABAMA,ST. CLAIR,36166,44441,REPUBLICAN,2.7,11.2,15.4,35.6,32.9,16.1
2020,1117,ALABAMA,SHELBY,79700,114950,REPUBLICAN,2.2,6.2,7.3,19.8,29.9,42.9
2020,1119,ALABAMA,SUMTER,4648,6291,DEMOCRAT,4.6,36.4,13.3,35.4,29.8,21.6
2020,1121,ALABAMA,TALLADEGA,22235,35663,REPUBLICAN,3.4,17.4,19.7,33.7,31.6,15
2020,1123,ALABAMA,TALLAPOOSA,14963,20991,REPUBLICAN,3,16,19.3,32.7,29.5,18.4
2020,1125,ALABAMA,TUSCALOOSA,51117,90172,REPUBLICAN,2.7,16.2,11.7,29.9,27.7,30.7
2020,1127,ALABAMA,WALKER,26002,31170,REPUBLICAN,3.3,17.3,18.2,37.5,33,11.3
2020,1129,ALABAMA,WASHINGTON,6564,8876,REPUBLICAN,4.7,18.6,17.4,43.1,26.9,12.7
2020,1131,ALABAMA,WILCOX,4048,5903,DEMOCRAT,7.2,32.5,23.5,39.5,24.5,12.5
2020,1133,ALABAMA,WINSTON,10195,11284,REPUBLICAN,3.3,16.7,21.2,38.2,27.8,12.8
2020,2001,ALASKA,DISTRICT 1,3511,7314,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2002,ALASKA,DISTRICT 2,3674,6136,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2003,ALASKA,DISTRICT 3,6076,8385,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2004,ALASKA,DISTRICT 4,5345,10511,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2005,ALASKA,DISTRICT 5,4204,8654,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2006,ALASKA,DISTRICT 6,5770,9460,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2007,ALASKA,DISTRICT 7,7027,9622,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2008,ALASKA,DISTRICT 8,7618,9912,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2009,ALASKA,DISTRICT 9,7787,10993,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2010,ALASKA,DISTRICT 10,8081,11205,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2011,ALASKA,DISTRICT 11,7096,10628,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2012,ALASKA,DISTRICT 12,7893,11238,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2013,ALASKA,DISTRICT 13,4652,7713,REPUBLICAN,2.3,14.8,14.5,43.5,30.5,11.5
2020,2014,ALASKA,DISTRICT 14,6714,11443,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2015,ALASKA,DISTRICT 15,2671,5559,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2016,ALASKA,DISTRICT 16,4274,8118,DEMOCRAT,3.1,7.6,10.5,39,33.4,17
2020,2017,ALASKA,DISTRICT 17,4136,7239,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2018,ALASKA,DISTRICT 18,4681,7720,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2019,ALASKA,DISTRICT 19,3118,5301,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2020,ALASKA,DISTRICT 20,4881,7497,DEMOCRAT,4.4,9.5,6.1,23.4,34.4,36.1
2020,2021,ALASKA,DISTRICT 21,5414,9429,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2022,ALASKA,DISTRICT 22,4684,9520,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2023,ALASKA,DISTRICT 23,3810,7739,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2024,ALASKA,DISTRICT 24,5378,10428,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2025,ALASKA,DISTRICT 25,4600,9325,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2026,ALASKA,DISTRICT 26,5243,10111,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2027,ALASKA,DISTRICT 27,4844,9506,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2028,ALASKA,DISTRICT 28,6264,12749,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2029,ALASKA,DISTRICT 29,7464,10747,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2030,ALASKA,DISTRICT 30,7180,10176,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2031,ALASKA,DISTRICT 31,6971,12410,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2032,ALASKA,DISTRICT 32,4440,8335,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2033,ALASKA,DISTRICT 33,7535,10955,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2034,ALASKA,DISTRICT 34,5763,10729,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2035,ALASKA,DISTRICT 35,5011,10102,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2036,ALASKA,DISTRICT 36,5114,9292,REPUBLICAN,NA,NA,NA,NA,NA,NA
2020,2037,ALASKA,DISTRICT 37,2560,5142,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2038,ALASKA,DISTRICT 38,3202,5299,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2039,ALASKA,DISTRICT 39,3580,5891,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2040,ALASKA,DISTRICT 40,2318,4603,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,2099,ALASKA,DISTRICT 99,373,433,DEMOCRAT,NA,NA,NA,NA,NA,NA
2020,4001,ARIZONA,APACHE,16460,35172,DEMOCRAT,10.1,33.4,19.6,32.2,35.9,12.3
2020,4003,ARIZONA,COCHISE,25934,60442,REPUBLICAN,5.8,16.6,12.6,24.1,40.2,23.1
2020,4005,ARIZONA,COCONINO,39430,73272,DEMOCRAT,5.8,15.9,9.5,22,32.3,36.2
2020,4007,ARIZONA,GILA,15005,27662,REPUBLICAN,5.7,21.1,13.7,27.9,39.7,18.7
2020,4009,ARIZONA,GRAHAM,7289,14995,REPUBLICAN,4.9,20.1,14.7,28.7,41.4,15.2
2020,4011,ARIZONA,GREENLEE,1571,3685,REPUBLICAN,4,9.3,11.9,34.7,39.8,13.5
2020,4012,ARIZONA,LA PAZ,2936,7458,REPUBLICAN,6,22.1,23.1,31.1,33.8,12
2020,4013,ARIZONA,MARICOPA,978457,2068144,DEMOCRAT,4.2,12.2,12.3,22.4,32.6,32.7
2020,4015,ARIZONA,MOHAVE,56914,104668,REPUBLICAN,5.9,16,13.9,35.3,37.8,12.9
2020,4017,ARIZONA,NAVAJO,18787,51767,REPUBLICAN,7.6,25.2,16.6,30.3,37.8,15.3
2020,4019,ARIZONA,PIMA,282457,520397,DEMOCRAT,4.5,14,11.6,22.2,33.8,32.4
2020,4021,ARIZONA,PINAL,80293,184974,REPUBLICAN,5,12.1,14.2,29.3,37,19.5
2020,4023,ARIZONA,SANTA CRUZ,10859,19556,DEMOCRAT,8.7,18.8,23.4,28.7,27.5,20.4
2020,4025,ARIZONA,YAVAPAI,76416,143221,REPUBLICAN,4.6,12,9,25.8,39.3,25.9
2020,4027,ARIZONA,YUMA,30226,69881,REPUBLICAN,16.8,20.4,26.7,25.7,32.5,15
2020,5001,ARKANSAS,ARKANSAS,172,6292,DEMOCRAT,3,15.8,16.1,38.9,29.2,15.8
2020,5003,ARKANSAS,ASHLEY,347,7926,DEMOCRAT,5.4,18.5,16.7,43.7,27.3,12.3
2020,5005,ARKANSAS,BAXTER,1236,21007,DEMOCRAT,4,12.7,11.3,36.3,34.5,17.9
2020,5007,ARKANSAS,BENTON,9176,119912,DEMOCRAT,2.6,8.9,11.4,29.2,26.1,33.4
2020,5009,ARKANSAS,BOONE,711,17114,REPUBLICAN,3.2,15.1,12.6,33.4,37.9,16.1
2020,5011,ARKANSAS,BRADLEY,162,3654,DEMOCRAT,4.1,22.9,19,41.3,25.4,14.3
2020,5013,ARKANSAS,CALHOUN,72,2182,REPUBLICAN,4.4,15.4,15.8,44.7,28.1,11.4
2020,5015,ARKANSAS,CARROLL,1247,11797,DEMOCRAT,3.1,14.7,13.7,35.9,29.1,21.2
2020,5017,ARKANSAS,CHICOT,375,4103,DEMOCRAT,6.9,31,19.2,38.1,26.8,15.9
2020,5019,ARKANSAS,CLARK,515,8395,DEMOCRAT,3.8,20.6,10,30.2,33.1,26.6
2020,5021,ARKANSAS,CLAY,133,5183,REPUBLICAN,4.8,18.7,17.5,41.9,28,12.6
2020,5023,ARKANSAS,CLEBURNE,423,12680,REPUBLICAN,4.5,14.1,14.1,42.8,27.6,15.5
2020,5025,ARKANSAS,CLEVELAND,84,3600,DEMOCRAT,3.9,13.7,10.4,46.6,26.8,16.2
2020,5025,ARKANSAS,CLEVELAND,84,3600,REPUBLICAN,3.9,13.7,10.4,46.6,26.8,16.2
2020,5027,ARKANSAS,COLUMBIA,392,8616,DEMOCRAT,4.4,21.2,14.1,41.7,24.5,19.6
2020,5029,ARKANSAS,CONWAY,554,8685,DEMOCRAT,4.3,15.6,13,43.8,27.6,15.6
2020,5031,ARKANSAS,CRAIGHEAD,1861,38511,DEMOCRAT,2.8,16.9,10.7,34.6,28.5,26.2
2020,5033,ARKANSAS,CRAWFORD,1050,24091,DEMOCRAT,3.3,18.3,15,37.3,31.7,16
2020,5035,ARKANSAS,CRITTENDEN,538,16367,DEMOCRAT,4.2,22.4,17.4,34.8,30.4,17.4
2020,5037,ARKANSAS,CROSS,222,6942,DEMOCRAT,4.2,17.8,16.4,41.5,27.7,14.4
2020,5039,ARKANSAS,DALLAS,62,2649,DEMOCRAT,4.6,18.8,16.1,44.1,28,11.9
2020,5041,ARKANSAS,DESHA,215,4164,DEMOCRAT,4.4,25.4,18.9,44.6,22.4,14.1
2020,5043,ARKANSAS,DREW,317,6908,DEMOCRAT,5.2,18.5,13.1,35.3,28.8,22.8
2020,5045,ARKANSAS,FAULKNER,2479,54428,DEMOCRAT,3,14.4,8.2,30.5,30.8,30.6
2020,5047,ARKANSAS,FRANKLIN,208,7129,REPUBLICAN,3.3,16.2,16.3,41,30.6,12.1
2020,5049,ARKANSAS,FULTON,181,5119,DEMOCRAT,4,17.7,14.4,35.8,37.5,12.2
2020,5051,ARKANSAS,GARLAND,3062,44199,DEMOCRAT,3.7,16.9,10.9,31.4,36,21.6
2020,5053,ARKANSAS,GRANT,248,8200,REPUBLICAN,3.2,12.1,9.2,43.8,28.3,18.7
2020,5055,ARKANSAS,GREENE,473,16100,DEMOCRAT,3.5,15.5,11.8,45.9,26.2,16.2
2020,5057,ARKANSAS,HEMPSTEAD,324,6848,REPUBLICAN,3.8,18.5,17.4,36.8,30.7,15.1
2020,5059,ARKANSAS,HOT SPRING,539,12557,DEMOCRAT,3.6,20.2,14.2,39,33.5,13.3
2020,5061,ARKANSAS,HOWARD,175,4834,REPUBLICAN,3.2,16.8,14.8,38.4,33.3,13.6
2020,5063,ARKANSAS,INDEPENDENCE,445,14512,REPUBLICAN,4,15.9,14,37.6,30.9,17.5
2020,5065,ARKANSAS,IZARD,226,5810,REPUBLICAN,5.4,15.9,16.2,38,32.7,13.1
2020,5067,ARKANSAS,JACKSON,133,5091,DEMOCRAT,6.5,22.9,19.8,42.5,27.5,10.1
2020,5069,ARKANSAS,JEFFERSON,1507,25158,DEMOCRAT,5.4,24.4,13.9,38.9,29.3,18
2020,5071,ARKANSAS,JOHNSON,384,9498,DEMOCRAT,4.5,17.5,21.1,40.7,22.9,15.4
2020,5073,ARKANSAS,LAFAYETTE,157,2679,REPUBLICAN,4.6,25.5,20.3,40.2,23.7,15.8
2020,5075,ARKANSAS,LAWRENCE,188,5857,REPUBLICAN,4.1,18.4,15.9,38.6,30.1,15.4
2020,5077,ARKANSAS,LEE,229,2848,DEMOCRAT,4.5,35.4,24.2,40.4,24.7,10.7
2020,5079,ARKANSAS,LINCOLN,142,3875,DEMOCRAT,4.3,27.1,18.9,47.3,24.1,9.7
2020,5081,ARKANSAS,LITTLE RIVER,136,5177,REPUBLICAN,4.3,17.8,11,44.7,31.8,12.5
2020,5083,ARKANSAS,LOGAN,248,8225,DEMOCRAT,4.3,17.4,13.8,45.1,27.8,13.3
2020,5085,ARKANSAS,LONOKE,927,30662,DEMOCRAT,3.2,10.7,10.9,36.7,31.8,20.6
2020,5087,ARKANSAS,MADISON,404,7351,DEMOCRAT,2.6,16.4,19.4,43.9,22.6,14.2
2020,5089,ARKANSAS,MARION,376,7503,REPUBLICAN,4,16.3,13.5,37.5,31.9,17.1
2020,5091,ARKANSAS,MILLER,367,16529,DEMOCRAT,4.1,14.1,13.5,35.3,34.4,16.8
2020,5093,ARKANSAS,MISSISSIPPI,337,12342,DEMOCRAT,5.1,23,18.9,38.8,28.5,13.8
2020,5095,ARKANSAS,MONROE,91,2816,REPUBLICAN,4.2,25.5,21.1,41.3,24.9,12.7
2020,5097,ARKANSAS,MONTGOMERY,173,3873,REPUBLICAN,4.6,19.9,20.2,36.4,29.9,13.5
2020,5099,ARKANSAS,NEVADA,148,3358,DEMOCRAT,3.9,24.1,9.6,43,32.8,14.6
2020,5101,ARKANSAS,NEWTON,144,3998,REPUBLICAN,3.5,18.1,13.5,35.4,30.6,20.5
2020,5103,ARKANSAS,OUACHITA,672,9629,DEMOCRAT,5.1,17.3,14,41.6,30,14.5
2020,5105,ARKANSAS,PERRY,123,4627,DEMOCRAT,4,16.5,15.2,41.7,30.5,12.7
2020,5107,ARKANSAS,PHILLIPS,402,6242,DEMOCRAT,5.9,33.3,19.7,31.9,34.6,13.8
2020,5109,ARKANSAS,PIKE,142,4246,REPUBLICAN,3.8,16.9,12.6,38.1,32,17.3
2020,5111,ARKANSAS,POINSETT,149,7521,REPUBLICAN,3.4,23.1,19.7,43.1,26.2,11.1
2020,5113,ARKANSAS,POLK,377,8490,REPUBLICAN,4.2,20.2,15.1,36.5,34.3,14.1
2020,5115,ARKANSAS,POPE,1009,24432,DEMOCRAT,4.3,16.9,15.5,35.2,26.5,22.8
2020,5117,ARKANSAS,PRAIRIE,62,3495,DEMOCRAT,4.3,15,16.8,39.9,27.8,15.4
2020,5117,ARKANSAS,PRAIRIE,62,3495,REPUBLICAN,4.3,15,16.8,39.9,27.8,15.4
2020,5119,ARKANSAS,PULASKI,17172,169956,DEMOCRAT,3.4,14.6,9.6,26,30.1,34.3
2020,5121,ARKANSAS,RANDOLPH,218,6812,REPUBLICAN,3.8,17.3,17.1,36.1,32.9,13.8
2020,5123,ARKANSAS,ST. FRANCIS,419,7108,DEMOCRAT,5.1,32,18.1,37.6,33.9,10.4
2020,5125,ARKANSAS,SALINE,2494,56959,DEMOCRAT,2.8,9.6,9.4,31.4,32.6,26.7
2020,5127,ARKANSAS,SCOTT,129,3551,REPUBLICAN,3.4,19.6,20.9,40.8,29.1,9.3
2020,5129,ARKANSAS,SEARCY,142,4019,REPUBLICAN,4.5,22.4,18.2,40.2,29.7,11.9
2020,5131,ARKANSAS,SEBASTIAN,2230,47140,DEMOCRAT,3.3,15.9,15.9,31,31.7,21.3
2020,5133,ARKANSAS,SEVIER,164,5202,REPUBLICAN,4.8,17.7,23.5,37.5,26.3,12.8
2020,5135,ARKANSAS,SHARP,311,7566,REPUBLICAN,4.9,23.3,16.5,40.9,32.4,10.2
2020,5137,ARKANSAS,STONE,232,5938,DEMOCRAT,4.7,19.3,18.8,34.9,32.4,13.9
2020,5139,ARKANSAS,UNION,801,16607,DEMOCRAT,5.2,18.9,15.1,35.5,28.3,21.1
2020,5141,ARKANSAS,VAN BUREN,361,7807,DEMOCRAT,4.9,19.9,14.9,42.6,28,14.5
2020,5143,ARKANSAS,WASHINGTON,8817,94266,DEMOCRAT,2.5,15.1,15,25.7,26,33.3
2020,5145,ARKANSAS,WHITE,1032,30885,REPUBLICAN,4.4,15.4,15.6,39.3,24.2,20.9
2020,5147,ARKANSAS,WOODRUFF,60,2476,DEMOCRAT,5.2,27.1,18.3,43.8,23.9,14
2020,5149,ARKANSAS,YELL,181,6741,REPUBLICAN,4,15.6,21.8,40,25.3,12.8
2020,6001,CALIFORNIA,ALAMEDA,617659,770070,DEMOCRAT,3,8.9,11.6,17.6,23.5,47.4
2020,6003,CALIFORNIA,ALPINE,476,741,DEMOCRAT,5.4,17.2,8.8,28.1,28.6,34.5
2020,6005,CALIFORNIA,AMADOR,13585,22304,REPUBLICAN,3.9,9.8,10,27.5,43.3,19.3
2020,6007,CALIFORNIA,BUTTE,50426,102066,DEMOCRAT,5.2,16.1,10.8,22.5,39.5,27.2
2020,6009,CALIFORNIA,CALAVERAS,16518,27164,REPUBLICAN,3.9,12.1,9.8,28,43.9,18.3
2020,6011,CALIFORNIA,COLUSA,4559,7961,REPUBLICAN,13,12,28.7,26.2,30,15
2020,6013,CALIFORNIA,CONTRA COSTA,416386,581316,DEMOCRAT,3.1,7.9,10.5,17.3,29.9,42.4
2020,6015,CALIFORNIA,DEL NORTE,6461,11453,REPUBLICAN,5.9,17.9,19.9,31,34.2,14.8
2020,6017,CALIFORNIA,EL DORADO,61838,116159,REPUBLICAN,3.6,8.7,6.6,21.3,37.9,34.3
2020,6019,CALIFORNIA,FRESNO,193025,364917,DEMOCRAT,7.4,20.5,24,22.7,32.1,21.2
2020,6021,CALIFORNIA,GLENN,7063,11297,REPUBLICAN,6.2,12.1,25.2,27.2,33.4,14.2
2020,6023,CALIFORNIA,HUMBOLDT,44768,68843,DEMOCRAT,3.7,19.1,9.5,22.2,37.9,30.4
2020,6025,CALIFORNIA,IMPERIAL,34678,56743,DEMOCRAT,20.9,22,30.3,24.3,30.2,15.2
2020,6027,CALIFORNIA,INYO,4634,9484,DEMOCRAT,3.6,11.7,11.4,28.6,32.8,27.2
2020,6029,CALIFORNIA,KERN,164484,305292,REPUBLICAN,7.9,19,25.9,27.8,29.9,16.4
2020,6031,CALIFORNIA,KINGS,24072,43861,REPUBLICAN,8,16,26.6,25.3,33.4,14.7
2020,6033,CALIFORNIA,LAKE,14941,28812,DEMOCRAT,5.2,18.3,14.2,30.5,39.7,15.5
2020,6035,CALIFORNIA,LASSEN,8970,11987,REPUBLICAN,4.7,16.5,16.8,34.5,35.7,12.9
2020,6037,CALIFORNIA,LOS ANGELES,3028885,4264365,DEMOCRAT,4.6,13.4,20.9,20.6,26,32.5
2020,6039,CALIFORNIA,MADERA,29378,53732,REPUBLICAN,7,17.6,28.1,24.9,32.5,14.6
2020,6041,CALIFORNIA,MARIN,128288,155830,DEMOCRAT,2.4,6.9,6.7,10.5,23.3,59.5
2020,6043,CALIFORNIA,MARIPOSA,5950,10280,REPUBLICAN,4.6,15.1,9.4,24.4,41.7,24.6
2020,6045,CALIFORNIA,MENDOCINO,28782,43340,DEMOCRAT,4,14,13.5,25,37.1,24.4
2020,6047,CALIFORNIA,MERCED,48991,90554,DEMOCRAT,8.2,17,30.9,25.3,30.1,13.8
2020,6049,CALIFORNIA,MODOC,3109,4343,REPUBLICAN,7.2,20.5,15.2,33,36.6,15.2
2020,6051,CALIFORNIA,MONO,4013,6738,DEMOCRAT,3.8,10.1,11.4,24.2,35.5,28.8
2020,6053,CALIFORNIA,MONTEREY,113953,163923,DEMOCRAT,6.4,12.6,28.5,20.3,26.5,24.7
2020,6055,CALIFORNIA,NAPA,49817,72150,DEMOCRAT,2.9,7.4,14.5,17.8,32,35.7
2020,6057,CALIFORNIA,NEVADA,36359,64750,DEMOCRAT,3.4,9.4,5.6,18.4,38.8,37.2
